timestamp,open,high,low,close,volume
2024-01-03 09:29:00,21783.00,21795.75,21775.25,21788.50,1650000
2024-01-03 09:30:00,21788.75,21800.25,21780.00,21792.00,1720000
2024-01-03 09:31:00,21792.25,21750.50,21735.75,21742.00,1880000
2024-01-03 09:32:00,21742.25,21755.00,21730.50,21738.75,1920000
2024-01-03 09:33:00,21739.00,21750.75,21725.25,21732.50,1960000
2024-01-03 09:34:00,21732.75,21745.25,21720.00,21728.00,2000000
2024-01-03 09:35:00,21728.25,21740.50,21715.75,21722.25,2040000
2024-01-03 09:36:00,21722.50,21735.00,21710.25,21718.00,2080000
2024-01-03 09:37:00,21718.25,21730.75,21705.50,21712.50,2120000
2024-01-03 09:38:00,21712.75,21725.25,21700.00,21708.00,2160000
2024-01-03 09:39:00,21708.25,21720.50,21695.75,21702.25,2200000
2024-01-03 09:40:00,21702.50,21715.00,21690.25,21698.00,2240000
2024-01-03 15:25:00,21695.25,21708.75,21685.50,21692.00,1850000
2024-01-03 15:26:00,21692.25,21705.50,21680.75,21688.25,1820000
2024-01-03 15:27:00,21688.50,21700.00,21675.25,21682.50,1880000
2024-01-03 15:28:00,21682.75,21695.75,21670.50,21678.00,1920000
2024-01-03 15:29:00,21678.25,21690.25,21665.00,21672.75,2050000
